"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 17, 2021","12.180","11.150","14.250","11.100","19.58M","6.65%"
"Sep 16, 2021","11.420","10.190","11.500","10.010","7.47M","12.73%"
"Sep 15, 2021","10.130","9.900","10.320","9.750","3.29M","2.63%"
"Sep 14, 2021","9.870","9.260","10.820","9.250","10.58M","7.87%"
"Sep 13, 2021","9.150","9.880","9.880","8.900","6.48M","-6.73%"
"Sep 10, 2021","9.810","9.970","10.020","9.810","3.66M","-1.31%"
"Sep 09, 2021","9.940","9.900","10.010","9.801","4.31M","0.10%"
"Sep 08, 2021","9.930","9.960","10.020","9.740","15.29M","-0.30%"
"Sep 07, 2021","9.960","9.980","10.000","9.960","8.99M","-0.20%"
"Sep 03, 2021","9.980","9.980","10.050","9.970","6.99M","0.05%"
"Sep 02, 2021","9.975","9.970","9.980","9.970","1.24M","0.05%"
"Sep 01, 2021","9.970","9.980","9.980","9.960","4.77M","0.00%"
"Aug 31, 2021","9.970","9.960","9.980","9.960","6.48M","0.10%"
"Aug 30, 2021","9.960","9.960","9.980","9.960","2.05M","-0.10%"
"Aug 27, 2021","9.970","9.965","9.980","9.960","8.78M","0.00%"
"Aug 26, 2021","9.970","9.980","9.980","9.960","1.85M","-0.10%"
"Aug 25, 2021","9.980","9.970","9.980","9.950","4.32M","0.30%"
"Aug 24, 2021","9.950","9.950","9.980","9.950","4.54M","0.00%"
"Aug 23, 2021","9.950","9.960","9.975","9.940","4.02M","0.00%"
"Aug 20, 2021","9.950","9.960","9.980","9.940","2.34M","-0.20%"
"Aug 19, 2021","9.970","9.960","9.990","9.950","5.82M","0.00%"
"Aug 18, 2021","9.970","9.980","10.000","9.960","4.24M","0.00%"
"Aug 17, 2021","9.970","9.980","10.005","9.950","5.27M","0.10%"
"Aug 16, 2021","9.960","10.000","10.020","9.960","5.14M","-0.20%"
"Aug 13, 2021","9.980","10.036","10.040","9.970","7.67M","-0.50%"
"Aug 12, 2021","10.030","10.120","10.170","10.000","7.22M","-0.59%"
"Aug 11, 2021","10.090","10.074","10.270","10.050","15.29M","0.40%"
"Aug 10, 2021","10.050","10.040","10.050","10.015","13.87M","0.50%"
"Aug 09, 2021","10.000","10.000","10.010","9.980","22.70M","-0.10%"
"Aug 06, 2021","10.010","9.960","10.010","9.950","13.23M","0.60%"
"Aug 05, 2021","9.950","9.950","9.970","9.925","9.79M","0.51%"
"Aug 04, 2021","9.900","9.880","9.940","9.870","11.40M","0.10%"
"Aug 03, 2021","9.890","9.880","9.900","9.870","949.83K","0.20%"
"Aug 02, 2021","9.870","9.910","9.910","9.860","583.83K","0.00%"
"Jul 30, 2021","9.870","9.860","9.915","9.850","1.65M","0.20%"
"Jul 29, 2021","9.850","9.870","9.880","9.830","3.33M","-0.10%"
"Jul 28, 2021","9.860","9.880","9.890","9.859","1.15M","-0.30%"
"Jul 27, 2021","9.890","9.890","9.897","9.860","2.70M","-0.10%"
"Jul 26, 2021","9.900","9.920","9.930","9.890","4.29M","-0.10%"
"Jul 23, 2021","9.910","9.940","9.940","9.900","4.89M","-0.20%"
"Jul 22, 2021","9.930","9.950","9.970","9.910","2.29M","-0.10%"
"Jul 21, 2021","9.940","9.920","9.960","9.900","1.12M","0.40%"
"Jul 20, 2021","9.900","9.920","9.920","9.870","1.51M","-0.20%"
"Jul 19, 2021","9.920","9.896","9.935","9.875","2.24M","0.10%"
"Jul 16, 2021","9.910","9.920","9.939","9.890","1.67M","-0.20%"
"Jul 15, 2021","9.930","9.910","9.970","9.890","3.38M","0.20%"
"Jul 14, 2021","9.910","9.930","9.950","9.900","2.22M","-0.30%"
"Jul 13, 2021","9.940","9.940","9.970","9.920","755.97K","-0.10%"
"Jul 12, 2021","9.950","9.990","10.000","9.940","823.80K","-0.40%"
"Jul 09, 2021","9.990","9.930","10.035","9.900","2.62M","0.81%"
"Jul 08, 2021","9.910","9.930","9.950","9.890","2.41M","-0.70%"
"Jul 07, 2021","9.980","9.990","10.000","9.960","857.43K","-0.30%"
"Jul 06, 2021","10.010","10.040","10.050","9.990","1.32M","-0.20%"
"Jul 02, 2021","10.030","9.990","10.050","9.980","3.24M","0.70%"
"Jul 01, 2021","9.960","9.970","10.020","9.950","972.97K","0.00%"