נתונים היסטוריים,,,,,,
תאריך,מחיר קניה,מחיר פדיון,שיעור הוספה (%),דמי ניהול (%),שווי נכסים במיל' ₪,דמי נאמנות
31/12/2015,168.86,168.86,0,2.23,240.5,0.07
04/01/2016,164.32,164.32,0,2.23,240.5,0.07
05/01/2016,165.01,165.01,0,2.23,240.5,0.07
06/01/2016,162.17,162.17,0,2.23,230.7,0.07
07/01/2016,156.55,156.55,0,2.23,230.7,0.07
11/01/2016,147.73,147.73,0,2.23,230.7,0.07
12/01/2016,151.23,151.23,0,2.23,230.7,0.07
13/01/2016,144.68,144.68,0,2.23,230.7,0.07
14/01/2016,149.13,149.13,0,2.23,230.7,0.07
19/01/2016,145.17,145.17,0,2.23,230.7,0.07
20/01/2016,148.02,148.02,0,2.23,230.7,0.07
21/01/2016,145.38,145.38,0,2.23,230.7,0.07
25/01/2016,147.41,147.41,0,2.23,230.7,0.07
26/01/2016,146.43,146.43,0,2.23,230.7,0.07
27/01/2016,142.72,142.72,0,2.23,230.7,0.07
28/01/2016,138.62,138.62,0,2.23,230.7,0.07
01/02/2016,139.77,139.77,0,2.23,230.7,0.07
02/02/2016,136.69,136.69,0,2.23,230.7,0.07
03/02/2016,138.83,138.83,0,2.23,230.7,0.07
04/02/2016,136.84,136.84,0,2.23,230.7,0.07
08/02/2016,130.03,130.03,0,2.23,178,0.07
09/02/2016,129.8,129.8,0,2.23,178,0.07
10/02/2016,130.1,130.1,0,2.23,178,0.07
11/02/2016,128.96,128.96,0,2.23,178,0.07
16/02/2016,137.19,137.19,0,2.23,178,0.07
17/02/2016,140.27,140.27,0,2.23,178,0.07
18/02/2016,137.29,137.29,0,2.23,178,0.07
22/02/2016,138.73,138.73,0,2.23,178,0.07
23/02/2016,136.3,136.3,0,2.23,178,0.07
24/02/2016,137.55,137.55,0,2.23,178,0.07
25/02/2016,137.39,137.39,0,2.23,178,0.07
29/02/2016,135.35,135.35,0,2.23,178,0.07
01/03/2016,140.18,140.18,0,2.23,178,0.07
02/03/2016,140.53,140.53,0,2.23,178,0.07
03/03/2016,138.67,138.67,0,2.23,178,0.07
07/03/2016,141.34,141.34,0,2.23,162.8,0.07
08/03/2016,137.62,137.62,0,2.23,162.8,0.07
09/03/2016,135.99,135.99,0,2.23,162.8,0.07
10/03/2016,135.41,135.41,0,2.23,162.8,0.07
14/03/2016,136.53,136.53,0,2.23,162.8,0.07
15/03/2016,133.19,133.19,0,2.23,162.8,0.07
16/03/2016,132.97,132.97,0,2.23,162.8,0.07
17/03/2016,130.77,130.77,0,2.23,162.8,0.07
21/03/2016,135.65,135.65,0,2.23,162.8,0.07
22/03/2016,138.11,138.11,0,2.23,162.8,0.07
23/03/2016,133.41,133.41,0,2.23,162.8,0.07
28/03/2016,132.5,132.5,0,2.23,162.8,0.07
29/03/2016,133.89,133.89,0,2.23,162.8,0.07
30/03/2016,132.02,132.02,0,2.23,162.8,0.07
31/03/2016,133.44,133.44,0,2.23,162.8,0.07
04/04/2016,139.29,139.29,0,2.23,162.8,0.07
05/04/2016,139.82,139.82,0,2.23,162.8,0.07
06/04/2016,147.81,147.81,0,2.23,162.8,0.07
07/04/2016,143.99,143.99,0,2.23,162.8,0.07
11/04/2016,140.17,140.17,0,2.23,154.5,0.07
12/04/2016,141.27,141.27,0,2.23,154.5,0.07
13/04/2016,143.37,143.37,0,2.23,154.5,0.07
14/04/2016,144.16,144.16,0,2.23,154.5,0.07
18/04/2016,145.25,145.25,0,2.23,154.5,0.07
19/04/2016,143.19,143.19,0,2.23,154.5,0.07
20/04/2016,142.72,142.72,0,2.23,154.5,0.07
21/04/2016,146.53,146.53,0,2.23,154.5,0.07
25/04/2016,146.23,146.23,0,2.23,154.5,0.07
26/04/2016,143.89,143.89,0,2.23,154.5,0.07
27/04/2016,142.09,142.09,0,2.23,154.5,0.07
02/05/2016,137.58,137.58,0,2.23,154.5,0.07
03/05/2016,135.45,135.45,0,2.23,154.5,0.07
04/05/2016,133.16,133.16,0,2.23,154.5,0.07
05/05/2016,133.7,133.7,0,2.23,154.5,0.07
09/05/2016,134.92,134.92,0,2.23,162.6,0.07
10/05/2016,136.25,136.25,0,2.23,162.6,0.07
16/05/2016,135.88,135.88,0,2.23,162.6,0.07
17/05/2016,134.82,134.82,0,2.23,162.6,0.07
18/05/2016,137.01,137.01,0,2.23,162.6,0.07
19/05/2016,136.48,136.48,0,2.23,162.6,0.07
23/05/2016,140.16,140.16,0,2.23,162.6,0.07
24/05/2016,142.13,142.13,0,2.23,162.6,0.07
25/05/2016,143.25,143.25,0,2.23,162.6,0.07
26/05/2016,141.97,141.97,0,2.23,162.6,0.07
31/05/2016,145.01,145.01,0,2.23,162.6,0.07
01/06/2016,145.56,145.56,0,2.23,162.6,0.07
02/06/2016,148.02,148.02,0,2.23,162.6,0.07
06/06/2016,147.49,147.49,0,2.23,158.6,0.07
07/06/2016,143.94,143.94,0,2.23,158.6,0.07
08/06/2016,143.95,143.95,0,2.23,158.6,0.07
09/06/2016,141.95,141.95,0,2.23,158.6,0.07
13/06/2016,137.99,137.99,0,2.23,158.6,0.07
14/06/2016,136.84,136.84,0,2.23,158.6,0.07
15/06/2016,137.22,137.22,0,2.23,158.6,0.07
16/06/2016,137.13,137.13,0,2.23,158.6,0.07
20/06/2016,134.97,134.97,0,2.23,158.6,0.07
21/06/2016,133.37,133.37,0,2.23,158.6,0.07
22/06/2016,134.01,134.01,0,2.23,158.6,0.07
23/06/2016,135.53,135.53,0,2.23,158.6,0.07
27/06/2016,128.49,128.49,0,2.23,158.6,0.07
28/06/2016,132.12,132.12,0,2.23,158.6,0.07
29/06/2016,134.18,134.18,0,2.23,158.6,0.07
30/06/2016,134.41,134.41,0,2.23,158.6,0.07
05/07/2016,137.02,137.02,0,2.23,158.6,0.07
06/07/2016,140.86,140.86,0,2.23,139.9,0.07
07/07/2016,140.87,140.87,0,2.23,139.9,0.07
11/07/2016,140.7,140.7,0,2.23,139.9,0.07
12/07/2016,141.23,141.23,0,2.23,139.9,0.07
13/07/2016,139.38,139.38,0,2.23,139.9,0.07
14/07/2016,138.83,138.83,0,2.23,139.9,0.07
18/07/2016,141.18,141.18,0,2.23,139.9,0.07
19/07/2016,139.52,139.52,0,2.23,139.9,0.07
20/07/2016,142.56,142.56,0,2.23,139.9,0.07
21/07/2016,144.27,144.27,0,2.23,139.9,0.07
25/07/2016,145.09,145.09,0,2.23,139.9,0.07
26/07/2016,144.01,144.01,0,2.23,139.9,0.07
27/07/2016,146.71,146.71,0,2.23,139.9,0.07
28/07/2016,146.26,146.26,0,2.23,139.9,0.07
01/08/2016,149.31,149.31,0,2.23,139.9,0.07
02/08/2016,150.24,150.24,0,2.23,139.9,0.07
03/08/2016,151.91,151.91,0,2.23,139.9,0.07
04/08/2016,150.92,150.92,0,2.23,139.9,0.07
08/08/2016,149.67,149.67,0,2.23,146.6,0.07
09/08/2016,149.41,149.41,0,2.23,146.6,0.07
10/08/2016,146.56,146.56,0,2.23,146.6,0.07
11/08/2016,148.18,148.18,0,2.23,146.6,0.07
15/08/2016,149.85,149.85,0,2.23,146.6,0.07
16/08/2016,146.72,146.72,0,2.23,146.6,0.07
17/08/2016,147.45,147.45,0,2.23,146.6,0.07
18/08/2016,147.11,147.11,0,2.23,146.6,0.07
22/08/2016,149.49,149.49,0,2.23,146.6,0.07
23/08/2016,149.19,149.19,0,2.23,146.6,0.07
24/08/2016,145,145,0,2.23,146.6,0.07
25/08/2016,143.23,143.23,0,2.23,146.6,0.07
29/08/2016,144,144,0,2.23,146.6,0.07
30/08/2016,143.35,143.35,0,2.23,146.6,0.07
31/08/2016,142.25,142.25,0,2.23,146.6,0.07
01/09/2016,142.06,142.06,0,2.23,146.6,0.07
06/09/2016,143.57,143.57,0,2.23,137.6,0.07
07/09/2016,144.41,144.41,0,2.23,137.6,0.07
08/09/2016,144.52,144.52,0,2.23,137.6,0.07
12/09/2016,144.47,144.47,0,2.23,137.6,0.07
13/09/2016,142.06,142.06,0,2.23,137.6,0.07
14/09/2016,144.2,144.2,0,2.23,137.6,0.07
15/09/2016,145.84,145.84,0,2.23,137.6,0.07
19/09/2016,146.49,146.49,0,2.23,137.6,0.07
20/09/2016,148.62,148.62,0,2.23,137.6,0.07
21/09/2016,149.53,149.53,0,2.23,137.6,0.07
22/09/2016,149.57,149.57,0,2.23,137.6,0.07
26/09/2016,147.09,147.09,0,2.23,137.6,0.07
27/09/2016,148.6,148.6,0,2.23,137.6,0.07
28/09/2016,147.23,147.23,0,2.23,137.6,0.07
29/09/2016,143.35,143.35,0,2.23,137.6,0.07
05/10/2016,145.25,145.25,0,2.23,137.6,0.07
06/10/2016,142.55,142.55,0,2.23,137.6,0.07
10/10/2016,144.39,144.39,0,2.23,133.7,0.07
13/10/2016,138.04,138.04,0,2.23,133.7,0.07
18/10/2016,137.13,137.13,0,2.23,133.7,0.07
19/10/2016,135.71,135.71,0,2.23,133.7,0.07
20/10/2016,137.44,137.44,0,2.23,133.7,0.07
25/10/2016,135.43,135.43,0,2.23,133.7,0.07
26/10/2016,135.06,135.06,0,2.23,133.7,0.07
27/10/2016,135.59,135.59,0,2.23,133.7,0.07
31/10/2016,131.19,131.19,0,2.23,133.7,0.07
01/11/2016,131.37,131.37,0,2.23,133.7,0.07
02/11/2016,128.39,128.39,0,2.23,133.7,0.07
03/11/2016,125.45,125.45,0,2.23,133.7,0.07
07/11/2016,132.2,132.2,0,2.23,120.1,0.07
08/11/2016,132.87,132.87,0,2.23,120.1,0.07
09/11/2016,144.31,144.31,0,2.23,120.1,0.07
10/11/2016,148.34,148.34,0,2.23,120.1,0.07
14/11/2016,149.94,149.94,0,2.23,120.1,0.07
15/11/2016,148.31,148.31,0,2.23,120.1,0.07
16/11/2016,146.65,146.65,0,2.23,120.1,0.07
17/11/2016,147.06,147.06,0,2.23,120.1,0.07
21/11/2016,147.13,147.13,0,2.23,120.1,0.07
22/11/2016,144.32,144.32,0,2.23,120.1,0.07
23/11/2016,144.3,144.3,0,2.23,120.1,0.07
28/11/2016,142,142,0,2.23,120.1,0.07
29/11/2016,142.18,142.18,0,2.23,120.1,0.07
30/11/2016,138.93,138.93,0,2.23,120.1,0.07
01/12/2016,136.88,136.88,0,2.23,120.1,0.07
05/12/2016,137.53,137.53,0,2.23,120.1,0.07
06/12/2016,137.54,137.54,0,2.23,124.6,0.07
07/12/2016,133.39,133.39,0,2.23,124.6,0.07
08/12/2016,133.09,133.09,0,2.23,124.6,0.07
12/12/2016,134.76,134.76,0,2.23,124.6,0.07
13/12/2016,135.03,135.03,0,2.23,124.6,0.07
14/12/2016,134.98,134.98,0,2.23,124.6,0.07
15/12/2016,137.82,137.82,0,2.23,124.6,0.07
19/12/2016,136.63,136.63,0,2.23,124.6,0.07
20/12/2016,137.37,137.37,0,2.23,124.6,0.07
21/12/2016,134.42,134.42,0,2.23,124.6,0.07
22/12/2016,133.38,133.38,0,2.23,124.6,0.07
27/12/2016,137.1,137.1,0,2.23,124.6,0.07
28/12/2016,135.7,135.7,0,2.23,124.6,0.07
29/12/2016,134.63,134.63,0,2.23,124.6,0.07
