Date,Open,High,Low,Close,Volume
23/01/2018,$85.90,$86.05,$85.81,$85.86,10741019
22/01/2018,$86.27,$86.28,$85.65,$86.00,35937375
19/01/2018,$69.84,$71.68,$66.38,$67.81,5186060
18/01/2018,$67.51,$74.35,$66.68,$71.37,8305739
17/01/2018,$68.10,$70.00,$65.21,$69.25,21984246
16/01/2018,$48.76,$48.99,$44.13,$45.60,3394806
15/01/2018,$48.75,$48.75,$48.75,$48.75,0
12/01/2018,$50.24,$50.50,$48.42,$48.75,1505873
11/01/2018,$49.00,$50.73,$48.25,$50.09,2087429
10/01/2018,$48.97,$49.39,$47.85,$48.94,1396563
09/01/2018,$49.38,$49.94,$48.19,$49.21,1733099
08/01/2018,$47.75,$49.44,$46.13,$49.35,1983459
05/01/2018,$48.75,$49.80,$47.79,$48.00,2042186
04/01/2018,$48.09,$48.30,$46.44,$47.71,1156567
03/01/2018,$47.46,$48.74,$47.00,$48.09,1233024
02/01/2018,$45.71,$47.59,$45.24,$47.35,1292238
29/12/2017,$47.29,$47.75,$45.64,$45.71,1440593
28/12/2017,$47.03,$47.54,$46.20,$47.41,1049223
27/12/2017,$46.41,$47.39,$45.92,$46.81,1210583
26/12/2017,$45.59,$46.70,$45.09,$46.41,944328
22/12/2017,$44.97,$46.22,$44.66,$46.00,1687881
21/12/2017,$44.75,$45.25,$44.00,$45.03,1422808
20/12/2017,$44.05,$46.14,$43.30,$44.71,2695258
19/12/2017,$43.94,$44.68,$42.29,$43.75,2542446
18/12/2017,$44.96,$44.99,$42.50,$43.67,3126551
15/12/2017,$44.25,$45.17,$43.00,$44.68,4315368
14/12/2017,$47.60,$48.62,$43.77,$44.17,4341906
13/12/2017,$45.83,$47.95,$44.09,$47.41,4284513
12/12/2017,$50.38,$50.60,$45.25,$45.75,7288826
11/12/2017,$58.84,$59.09,$50.15,$50.24,6770805
08/12/2017,$57.19,$59.25,$56.66,$58.65,2299182
07/12/2017,$55.00,$56.92,$54.18,$56.73,1262326
06/12/2017,$54.03,$54.95,$52.58,$54.56,1270819
05/12/2017,$54.73,$56.83,$52.90,$53.20,1447258
04/12/2017,$57.01,$58.22,$54.36,$54.66,1422734
01/12/2017,$54.62,$57.25,$53.50,$56.70,1804575
30/11/2017,$54.50,$55.70,$53.80,$54.62,1819041
29/11/2017,$57.48,$57.60,$53.45,$54.48,1848432
28/11/2017,$60.88,$61.00,$56.04,$56.99,2725824
27/11/2017,$63.03,$63.45,$60.73,$61.18,1149801
24/11/2017,$60.46,$63.33,$60.46,$62.85,1271149
22/11/2017,$59.02,$60.49,$58.76,$60.33,749177
21/11/2017,$59.34,$60.97,$58.08,$58.77,1668299
20/11/2017,$58.13,$59.75,$57.72,$59.06,1202737
17/11/2017,$57.84,$59.10,$57.22,$58.64,1421027
16/11/2017,$56.68,$59.28,$56.61,$57.74,1898828
15/11/2017,$53.05,$57.24,$52.50,$56.40,1776040
14/11/2017,$55.91,$56.15,$51.88,$53.86,2012425
13/11/2017,$57.54,$57.73,$55.58,$56.05,1392924
10/11/2017,$53.50,$58.00,$53.48,$57.59,2084425
09/11/2017,$54.78,$54.95,$53.15,$54.43,1621771
08/11/2017,$56.29,$56.29,$54.12,$54.96,1314982
07/11/2017,$56.27,$57.09,$55.25,$55.98,1544985
06/11/2017,$58.25,$58.30,$56.11,$56.45,2331749
03/11/2017,$59.40,$61.59,$57.81,$58.48,5482719
02/11/2017,$50.00,$60.00,$49.57,$59.91,11051318
01/11/2017,$49.00,$52.00,$47.21,$48.31,5037272
31/10/2017,$46.22,$46.94,$43.96,$44.91,1981780
30/10/2017,$45.65,$48.14,$44.91,$46.29,1960336
27/10/2017,$43.50,$45.84,$43.15,$45.72,1444567
26/10/2017,$42.50,$44.33,$42.25,$43.53,1173181
25/10/2017,$44.12,$44.85,$42.39,$43.06,1005695
24/10/2017,$45.15,$45.64,$43.48,$44.49,1801730
23/10/2017,$44.14,$46.35,$43.41,$45.13,2787943
20/10/2017,$43.27,$44.10,$42.70,$43.71,1892049
19/10/2017,$44.15,$44.50,$42.35,$43.40,1623091
18/10/2017,$43.30,$43.92,$42.82,$43.08,967697
17/10/2017,$42.94,$44.65,$42.78,$43.04,2369754
16/10/2017,$42.75,$44.82,$42.35,$42.88,1166040
13/10/2017,$43.11,$43.36,$42.14,$42.90,1157387
12/10/2017,$42.76,$43.98,$42.25,$43.08,1354819
11/10/2017,$43.31,$43.37,$42.73,$43.00,1123483
10/10/2017,$43.79,$43.91,$42.60,$43.19,1308171
09/10/2017,$43.63,$44.24,$42.57,$43.68,1181491
06/10/2017,$44.70,$45.08,$43.17,$43.61,1604711
05/10/2017,$44.91,$45.40,$43.70,$44.72,1111448
04/10/2017,$45.00,$45.60,$44.50,$44.91,892779
03/10/2017,$45.92,$46.00,$44.57,$45.10,1177442
02/10/2017,$45.15,$46.19,$44.50,$45.74,2231312
29/09/2017,$44.50,$45.20,$43.96,$44.86,1317511
28/09/2017,$42.58,$44.95,$42.30,$44.45,2191696
27/09/2017,$42.33,$43.15,$41.64,$42.68,1650652
26/09/2017,$42.63,$43.18,$41.40,$42.05,1985211
25/09/2017,$44.95,$45.45,$41.75,$42.28,2860184
22/09/2017,$43.13,$47.03,$42.90,$45.14,9948971
21/09/2017,$43.50,$45.25,$41.35,$41.62,5323386
20/09/2017,$43.63,$45.38,$43.63,$45.21,1570087
19/09/2017,$44.36,$44.40,$43.51,$43.80,1219491
18/09/2017,$44.18,$45.20,$43.87,$44.65,1365726
15/09/2017,$44.20,$45.38,$43.83,$44.30,3335310
14/09/2017,$44.90,$47.00,$44.16,$44.57,4619374
13/09/2017,$42.69,$45.75,$42.02,$45.32,4447921
12/09/2017,$42.20,$43.20,$41.75,$42.15,2140165
11/09/2017,$42.25,$42.35,$40.26,$41.91,2188987
08/09/2017,$42.48,$42.97,$41.81,$41.85,1848810
07/09/2017,$42.10,$44.33,$41.28,$42.61,4532328
06/09/2017,$43.22,$43.60,$40.11,$41.41,4452310
05/09/2017,$40.63,$43.14,$40.63,$42.68,3190537
01/09/2017,$41.37,$42.71,$40.42,$41.92,4111428
31/08/2017,$41.12,$43.10,$40.05,$41.27,7479826
30/08/2017,$44.01,$44.25,$39.84,$40.29,13178041
29/08/2017,$36.61,$44.60,$36.50,$43.81,17715872
28/08/2017,$36.11,$37.50,$35.20,$36.48,13693652
25/08/2017,$30.32,$31.21,$30.17,$30.73,2154788
24/08/2017,$28.67,$30.60,$28.17,$30.32,1549586
23/08/2017,$27.38,$28.62,$27.15,$28.57,1649963
22/08/2017,$26.99,$27.89,$26.87,$27.65,1039639
21/08/2017,$26.89,$27.25,$26.72,$26.83,672853
18/08/2017,$27.00,$27.20,$26.40,$26.99,788577
17/08/2017,$27.75,$28.08,$26.98,$27.06,1214362
16/08/2017,$28.44,$28.58,$27.54,$27.66,1147596
15/08/2017,$28.51,$29.05,$27.77,$28.37,952590
14/08/2017,$28.64,$28.95,$28.01,$28.22,895202
11/08/2017,$28.02,$28.73,$27.73,$28.49,705610
10/08/2017,$29.18,$29.30,$27.64,$27.97,1063094
09/08/2017,$28.60,$29.57,$28.43,$29.40,905231
08/08/2017,$29.85,$30.05,$28.60,$28.90,1213140
07/08/2017,$29.94,$30.77,$29.76,$30.39,1182399
04/08/2017,$28.75,$30.08,$27.25,$29.88,1895253
03/08/2017,$29.07,$29.30,$28.60,$29.07,1127461
02/08/2017,$28.32,$29.02,$27.91,$28.98,1285876
01/08/2017,$28.67,$28.88,$27.98,$28.27,1441928
31/07/2017,$28.82,$29.16,$28.23,$28.43,916893
28/07/2017,$28.48,$29.11,$28.02,$28.78,1128225
27/07/2017,$30.51,$30.51,$28.51,$28.66,1579573
26/07/2017,$30.09,$30.74,$29.99,$30.25,918873
25/07/2017,$30.11,$30.56,$29.86,$30.02,1260663
24/07/2017,$29.61,$30.40,$29.52,$30.05,1119423
21/07/2017,$28.96,$29.79,$28.85,$29.69,1380143
20/07/2017,$28.25,$29.40,$28.25,$29.04,1614716
19/07/2017,$27.96,$28.63,$27.77,$28.23,1811495
18/07/2017,$27.26,$27.66,$26.74,$27.62,1523778
17/07/2017,$27.40,$27.98,$27.12,$27.31,1063402
14/07/2017,$27.34,$27.75,$26.87,$27.26,2432101
13/07/2017,$28.50,$28.55,$27.64,$28.06,1952205
12/07/2017,$28.00,$28.60,$27.16,$28.03,2373830
11/07/2017,$27.80,$28.53,$27.52,$27.89,1674104
10/07/2017,$29.03,$29.10,$27.91,$28.15,1593290
07/07/2017,$30.01,$30.11,$28.91,$29.11,1666339
06/07/2017,$30.75,$31.11,$29.36,$29.61,1819469
05/07/2017,$29.30,$31.53,$29.09,$31.24,2269796
03/07/2017,$30.00,$30.20,$29.17,$29.25,885720
30/06/2017,$30.21,$30.27,$29.11,$29.89,1444644
29/06/2017,$31.26,$31.97,$30.06,$30.21,1754091
28/06/2017,$29.60,$31.73,$29.55,$31.36,2494424
27/06/2017,$29.74,$31.26,$29.25,$29.34,3553206
26/06/2017,$29.31,$29.80,$28.59,$29.70,2572867
23/06/2017,$27.00,$29.25,$26.62,$29.00,3702982
22/06/2017,$26.67,$27.88,$26.59,$26.98,3012051
21/06/2017,$24.70,$26.66,$24.52,$26.43,3535472
20/06/2017,$24.45,$25.23,$24.13,$24.66,2411120
19/06/2017,$23.37,$24.36,$23.25,$24.20,1560675
16/06/2017,$22.41,$23.35,$22.19,$23.29,1727044
15/06/2017,$22.73,$23.31,$22.42,$22.52,893482
14/06/2017,$22.59,$23.34,$22.49,$23.13,947574
13/06/2017,$22.48,$22.78,$22.11,$22.59,1052231
12/06/2017,$21.59,$22.84,$21.35,$22.30,1781622
09/06/2017,$22.36,$22.48,$21.02,$21.68,3103672
08/06/2017,$22.70,$23.38,$22.33,$22.36,3435491
07/06/2017,$24.30,$24.78,$22.73,$23.73,3815934
06/06/2017,$23.91,$24.70,$23.51,$24.20,2854265
05/06/2017,$26.83,$27.18,$23.18,$23.40,5529934
02/06/2017,$24.78,$26.45,$24.14,$26.21,2396086
01/06/2017,$23.34,$24.95,$23.33,$24.50,2467364
31/05/2017,$23.21,$23.47,$22.71,$23.23,1314009
30/05/2017,$23.65,$23.74,$22.73,$23.11,1499924
26/05/2017,$25.43,$25.45,$23.18,$23.30,2608359
25/05/2017,$25.51,$26.22,$25.20,$25.52,1612615
24/05/2017,$24.89,$25.44,$24.51,$25.33,906507
23/05/2017,$24.11,$24.89,$24.05,$24.80,839717
22/05/2017,$23.77,$24.26,$23.55,$24.07,887182
19/05/2017,$25.06,$25.64,$23.61,$23.64,1281512
18/05/2017,$24.43,$25.20,$24.10,$25.00,1766016
17/05/2017,$25.87,$26.12,$24.51,$24.52,1831548
16/05/2017,$25.48,$26.60,$25.27,$26.35,1742075
15/05/2017,$24.17,$25.89,$24.17,$25.37,2058216
12/05/2017,$22.54,$24.28,$22.54,$24.12,1858685
11/05/2017,$22.89,$22.95,$22.04,$22.59,1358520
10/05/2017,$23.49,$23.59,$22.81,$22.89,1214397
09/05/2017,$22.33,$23.68,$22.12,$23.58,1843159
